===== SHEET: Feed library (dims A1:J277) =====
Feed Name | Group | By default | Rate | DM | TDN | CP | Ca | P | Select/ tick
Dry matter range is editable
Pregnancy requirement 
Fixed constraints
Concentrate forage ratio 
Ratio is editable - L, E, G – Lower, Equal, Greater and numeric value is also editable.
Feed item related other logic:
Add mineral mixture in the final formulation
Take ± 25 % of the farmer entered value as minimum and maximum range (editable)
At least one forage item should be there in final formulation
Use district specific feed library
--- DOCX TABLE 0 ---
Species | Milking Ftag | Calving month range | Dry matter range (%)
Buffalo | N |  | 2.00 - 4.00
Buffalo | Y | <= 2.00 | 2.00 - 2.50
Buffalo | Y | 2.00 - 3.00 | 2.00 - 3.00
Buffalo | Y | 3.00 - 24.00 | 2.00 - 4.00
Cattle | N |  | 2.00 - 4.00
Cattle | Y | <= 2.00 | 2.00 - 2.50
Cattle | Y | 2.00 - 3.00 | 2.00 - 3.00
Cattle | Y | 3.00 - 24.00 | 2.00 - 4.00
--- DOCX TABLE 1 ---
Species | Pregnancy Months
Cattle | 7 and above
Buffalo | 7 and above
--- DOCX TABLE 2 ---
Species | Milking stag | Milk production 
Range, Kg | Ratio 
(L = Lower) | Concentrate %
Buffalo | N |  | L | 40
Buffalo | Y | <= 5.00 | L | 40
Buffalo | Y | 5.00 - 10.00 | L | 50
Buffalo | Y | 10.00 - 15.00 | L | 60
Buffalo | Y | 15.00 - 55.00 | L | 70
Cattle | N |  | L | 40
Cattle | Y | <= 5.00 | L | 40
Cattle | Y | 5.00 - 10.00 | L | 50
Cattle | Y | 10.00 - 15.00 | L | 60
Cattle | Y | 15.00 - 55.00 | L | 70
